id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;predkosc_pobierania;predkosc_wysylania;grupa_porownawcza;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2
1;CHOPIN;10;12;Strzał w 10;300;15;300;;cena z rabatem za e-fakturę;1;1;12.76;2;10;59.57
2;CHOPIN;10;12;Strzał w 10;650;30;650;;cena z rabatem za e-fakturę;1;1;12.76;2;10;80.57
3;CHOPIN;24;24;Strzał w 10;300;15;300;;cena z rabatem za e-fakturę;1;3;12.76;4;24;59.57
4;CHOPIN;24;24;Strzał w 10;650;30;650;;cena z rabatem za e-fakturę;1;3;12.76;4;24;80.57
5;CHOPIN;24;24;Oferta Osiedlowa;300;15;300;;cena z rabatem za e-fakturę;1;24;23.70;;;
6;CHOPIN;24;24;Oferta Osiedlowa;650;30;650;;cena z rabatem za e-fakturę;1;24;33.70;;;
7;CHOPIN;24;24;Oferta Osiedlowa;800;40;800;;cena z rabatem za e-fakturę;1;24;43.70;;;
8;CHOPIN;12;12;Super Net;120;10;120;;cena z rabatem za e-fakturę;1;12;69.57;;;
9;CHOPIN;12;12;Super Net;300;15;300;;cena z rabatem za e-fakturę;1;1;12.58;2;12;90.57
10;CHOPIN;12;12;Super Net;650;30;650;;cena z rabatem za e-fakturę;1;1;12.58;2;12;95.57
11;CHOPIN;12;12;Super Net;800;40;800;;cena z rabatem za e-fakturę;1;1;12.58;2;12;126.57
12;CHOPIN;24;24;Super Net;120;10;120;;cena z rabatem za e-fakturę;1;24;64.57;;;
13;CHOPIN;24;24;Super Net;300;15;300;;cena z rabatem za e-fakturę;1;1;12.58;2;24;80.57
14;CHOPIN;24;24;Super Net;650;30;650;;cena z rabatem za e-fakturę;1;1;12.58;2;24;85.57
15;CHOPIN;24;24;Super Net;800;40;800;;cena z rabatem za e-fakturę;1;1;12.58;2;24;116.57
16;CHOPIN;12;12;Trzymaj z nami;120;10;120;;cena z rabatem za e-fakturę;1;12;64.57;;;
17;CHOPIN;12;12;Trzymaj z nami;300;15;300;;cena z rabatem za e-fakturę;1;12;88.57;;;
18;CHOPIN;12;12;Trzymaj z nami;650;30;650;;cena z rabatem za e-fakturę;1;12;93.57;;;
19;CHOPIN;12;12;Trzymaj z nami;800;40;800;;cena z rabatem za e-fakturę;1;12;129.57;;;
20;CHOPIN;24;24;Trzymaj z nami;120;10;120;;cena z rabatem za e-fakturę;1;24;59.57;;;
21;CHOPIN;24;24;Trzymaj z nami;300;15;300;;cena z rabatem za e-fakturę;1;24;78.57;;;
22;CHOPIN;24;24;Trzymaj z nami;650;30;650;;cena z rabatem za e-fakturę;1;24;83.57;;;
23;CHOPIN;24;24;Trzymaj z nami;800;40;800;;cena z rabatem za e-fakturę;1;24;119.57;;;
24;CHOPIN;12;12;STOP EXTRA NET;300;15;300;;cena z rabatem za e-fakturę;1;12;46.45;;;
25;CHOPIN;12;12;STOP EXTRA NET;650;30;650;;cena z rabatem za e-fakturę;1;12;56.81;;;
26;PELMAR;10;12;Strzał w 10;300;15;300;;cena z rabatem za e-fakturę;1;1;12.76;2;10;59.57
27;PELMAR;10;12;Strzał w 10;650;30;650;;cena z rabatem za e-fakturę;1;1;12.76;2;10;80.57
28;PELMAR;24;24;Strzał w 10;300;15;300;;cena z rabatem za e-fakturę;1;3;12.76;4;24;59.57
29;PELMAR;24;24;Strzał w 10;650;30;650;;cena z rabatem za e-fakturę;1;3;12.76;4;24;80.57
30;PELMAR;24;24;Oferta Osiedlowa;300;15;300;;cena z rabatem za e-fakturę;1;24;23.70;;;
31;PELMAR;24;24;Oferta Osiedlowa;650;30;650;;cena z rabatem za e-fakturę;1;24;33.70;;;
32;PELMAR;24;24;Oferta Osiedlowa;800;40;800;;cena z rabatem za e-fakturę;1;24;43.70;;;
33;PELMAR;12;12;Super Net;120;10;120;;cena z rabatem za e-fakturę;1;12;69.57;;;
34;PELMAR;12;12;Super Net;300;15;300;;cena z rabatem za e-fakturę;1;1;12.58;2;12;90.57
35;PELMAR;12;12;Super Net;650;30;650;;cena z rabatem za e-fakturę;1;1;12.58;2;12;95.57
36;PELMAR;12;12;Super Net;800;40;800;;cena z rabatem za e-fakturę;1;1;12.58;2;12;126.57
37;PELMAR;24;24;Super Net;120;10;120;;cena z rabatem za e-fakturę;1;24;64.57;;;
38;PELMAR;24;24;Super Net;300;15;300;;cena z rabatem za e-fakturę;1;1;12.58;2;24;80.57
39;PELMAR;24;24;Super Net;650;30;650;;cena z rabatem za e-fakturę;1;1;12.58;2;24;85.57
40;PELMAR;24;24;Super Net;800;40;800;;cena z rabatem za e-fakturę;1;1;12.58;2;24;116.57
41;PELMAR;12;12;Trzymaj z nami;120;10;120;;cena z rabatem za e-fakturę;1;12;64.57;;;
42;PELMAR;12;12;Trzymaj z nami;300;15;300;;cena z rabatem za e-fakturę;1;12;88.57;;;
43;PELMAR;12;12;Trzymaj z nami;650;30;650;;cena z rabatem za e-fakturę;1;12;93.57;;;
44;PELMAR;12;12;Trzymaj z nami;800;40;800;;cena z rabatem za e-fakturę;1;12;129.57;;;
45;PELMAR;24;24;Trzymaj z nami;120;10;120;;cena z rabatem za e-fakturę;1;24;59.57;;;
46;PELMAR;24;24;Trzymaj z nami;300;15;300;;cena z rabatem za e-fakturę;1;24;78.57;;;
47;PELMAR;24;24;Trzymaj z nami;650;30;650;;cena z rabatem za e-fakturę;1;24;83.57;;;
48;PELMAR;24;24;Trzymaj z nami;800;40;800;;cena z rabatem za e-fakturę;1;24;119.57;;;
49;PELMAR;12;12;STOP EXTRA NET;300;15;300;;cena z rabatem za e-fakturę;1;12;46.45;;;
50;PELMAR;12;12;STOP EXTRA NET;650;30;650;;cena z rabatem za e-fakturę;1;12;56.81;;;
51;MC2;10;12;Strzał w 10;300;25;300;;cena z rabatem za e-fakturę;1;1;12.76;2;10;59.57
52;MC2;10;12;Strzał w 10;650;50;650;;cena z rabatem za e-fakturę;1;1;12.76;2;10;80.57
53;MC2;24;24;Strzał w 10;300;25;300;;cena z rabatem za e-fakturę;1;3;12.76;4;24;59.57
54;MC2;24;24;Strzał w 10;650;50;650;;cena z rabatem za e-fakturę;1;3;12.76;4;24;80.57
55;MC2;24;24;Oferta Osiedlowa;300;25;300;;cena z rabatem za e-fakturę;1;24;23.70;;;
56;MC2;24;24;Oferta Osiedlowa;650;50;650;;cena z rabatem za e-fakturę;1;24;33.70;;;
57;MC2;24;24;Oferta Osiedlowa;900;60;800;;cena z rabatem za e-fakturę;1;24;43.70;;;
58;MC2;12;12;Mega Net;60;6;120;;cena z rabatem za e-fakturę;1;12;64.57;;;
59;MC2;12;12;Mega Net;150;10;120;;cena z rabatem za e-fakturę;1;12;69.57;;;
60;MC2;12;12;Mega Net;300;25;300;;cena z rabatem za e-fakturę;1;1;12.58;2;12;90.57
61;MC2;12;12;Mega Net;650;50;650;;cena z rabatem za e-fakturę;1;1;12.58;2;12;95.57
62;MC2;12;12;Mega Net;900;60;800;;cena z rabatem za e-fakturę;1;1;12.58;2;12;126.57
63;MC2;24;24;Mega Net;60;6;120;;cena z rabatem za e-fakturę;1;24;59.57;;;
64;MC2;24;24;Mega Net;150;10;120;;cena z rabatem za e-fakturę;1;24;64.57;;;
65;MC2;24;24;Mega Net;300;25;300;;cena z rabatem za e-fakturę;1;1;12.58;2;24;80.57
66;MC2;24;24;Mega Net;650;50;650;;cena z rabatem za e-fakturę;1;1;12.58;2;24;85.57
67;MC2;24;24;Mega Net;900;60;800;;cena z rabatem za e-fakturę;1;1;12.58;2;24;116.57
68;MC2;12;12;Trzymaj z nami;60;6;120;;cena z rabatem za e-fakturę;1;12;54.57;;;
69;MC2;12;12;Trzymaj z nami;150;10;120;;cena z rabatem za e-fakturę;1;12;64.57;;;
70;MC2;12;12;Trzymaj z nami;300;25;300;;cena z rabatem za e-fakturę;1;12;88.57;;;
71;MC2;12;12;Trzymaj z nami;650;50;650;;cena z rabatem za e-fakturę;1;12;93.57;;;
72;MC2;12;12;Trzymaj z nami;900;60;800;;cena z rabatem za e-fakturę;1;12;129.57;;;
73;MC2;24;24;Trzymaj z nami;60;6;120;;cena z rabatem za e-fakturę;1;24;49.57;;;
74;MC2;24;24;Trzymaj z nami;150;10;120;;cena z rabatem za e-fakturę;1;24;59.57;;;
75;MC2;24;24;Trzymaj z nami;300;25;300;;cena z rabatem za e-fakturę;1;24;78.57;;;
76;MC2;24;24;Trzymaj z nami;650;50;650;;cena z rabatem za e-fakturę;1;24;83.57;;;
77;MC2;24;24;Trzymaj z nami;900;60;800;;cena z rabatem za e-fakturę;1;24;119.57;;;
78;MC2;12;12;STOP EXTRA NET;300;25;300;;cena z rabatem za e-fakturę;1;12;46.45;;;
79;MC2;12;12;STOP EXTRA NET;650;50;650;;cena z rabatem za e-fakturę;1;12;56.81;;;
80;MC1_OLSZTYN;10;12;Strzał w 10;150;15;120;;cena z rabatem za e-fakturę;1;1;1.23;2;10;49.99
81;MC1_OLSZTYN;10;12;Strzał w 10;300;30;300;;cena z rabatem za e-fakturę;1;1;1.23;2;10;59.99
