id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;pakiet_gb;grupa_porownawcza;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2
1;CHOPIN;12;12;Mobil NET;10;10;;cena z rabatem za e-fakturę;1;12;42.48;;;
2;CHOPIN;12;12;Mobil NET;30;30;;cena z rabatem za e-fakturę;1;12;52.48;;;
3;CHOPIN;12;12;Mobil NET;100;100;Pakiet NOC 100 GB;cena z rabatem za e-fakturę;1;12;72.48;;;
4;CHOPIN;12;12;Mobil NET;200;200;Pakiet NOC 200 GB;cena z rabatem za e-fakturę;1;12;92.48;;;
5;CHOPIN;12;12;Mobil NET;500;500;;cena z rabatem za e-fakturę;1;12;132.48;;;
6;CHOPIN;24;24;Mobil NET;10;10;;cena z rabatem za e-fakturę;1;24;32.48;;;
7;CHOPIN;24;24;Mobil NET;30;30;;cena z rabatem za e-fakturę;1;24;42.48;;;
8;CHOPIN;24;24;Mobil NET;100;100;Pakiet NOC 100 GB;cena z rabatem za e-fakturę;1;24;62.48;;;
9;CHOPIN;24;24;Mobil NET;200;200;Pakiet NOC 200 GB;cena z rabatem za e-fakturę;1;24;82.48;;;
10;CHOPIN;24;24;Mobil NET;500;500;;cena z rabatem za e-fakturę;1;24;122.48;;;
11;MC2;24;24;FEST Mobil;10;10;;cena z rabatem za e-fakturę;1;24;32.48;;;
12;MC2;24;24;FEST Mobil;30;30;;cena z rabatem za e-fakturę;1;24;42.48;;;
13;MC2;24;24;FEST Mobil;100;100;Pakiet NOC 100 GB;cena z rabatem za e-fakturę;1;24;62.48;;;
14;MC2;24;24;FEST Mobil;200;200;Pakiet NOC 200 GB;cena z rabatem za e-fakturę;1;24;82.48;;;
15;MC2;24;24;FEST Mobil;500;500;;cena z rabatem za e-fakturę;1;24;122.48;;;
16;MC1_OLSZTYN;12;12;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;12;24.98
17;MC1_OLSZTYN;12;12;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;12;54.98
18;MC1_OLSZTYN;24;24;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;24;24.98
19;MC1_OLSZTYN;24;24;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;24;54.98
20;MC1_OLSZTYN;999;999;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;999;24.98;;;
21;MC1_OLSZTYN;999;999;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;999;54.98;;;
22;MC1_STARGARD;12;12;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;12;24.98
23;MC1_STARGARD;12;12;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;12;54.98
24;MC1_STARGARD;24;24;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;24;24.98
25;MC1_STARGARD;24;24;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;24;54.98
26;MC1_STARGARD;999;999;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;999;24.98;;;
27;MC1_STARGARD;999;999;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;999;54.98;;;
28;MC1_OSTRODA;12;12;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;12;24.98
29;MC1_OSTRODA;12;12;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;12;54.98
30;MC1_OSTRODA;24;24;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;24;24.98
31;MC1_OSTRODA;24;24;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;1;4.99;2;24;54.98
32;MC1_OSTRODA;999;999;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;999;24.98;;;
33;MC1_OSTRODA;999;999;Internet Mobilny;100;100;;cena z rabatem za e-fakturę;1;999;54.98;;;
34;MC1_LOWICZ;12;12;Internet Mobilny;20;30;;cena z rabatem za e-fakturę;1;1;4.99;2;12;24.98
