id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;predkosc_pobierania;predkosc_wysylania;grupa_porownawcza_internet;nazwa_pakietu;liczba_kanalow;grupa_porownawcza_telewizja;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2;okres_od_3;okres_do_3;cena_3
1;CHOPIN;24;24;Oferta letnia;300;15;300;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;24;74.99;;;;;;
2;CHOPIN;24;24;Oferta letnia (z CANAL+ Seriale i Filmy);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;24;84.99;;;;;;
3;CHOPIN;24;24;Oferta letnia (z CANAL+ Super Sport);300;15;300;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;24;124.99;;;;;;
4;CHOPIN;24;24;Oferta letnia;650;30;650;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;24;89.99;;;;;;
5;CHOPIN;24;24;Oferta letnia (z CANAL+ Seriale i Filmy);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;24;99.99;;;;;;
6;CHOPIN;24;24;Oferta letnia (z CANAL+ Super Sport);650;30;650;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;24;139.99;;;;;;
7;CHOPIN;24;24;Oferta letnia;800;40;800;Start Box;129;129;SMART M - 84 kanały;cena z rabatem za e-fakturę;1;24;104.99;;;;;;
8;CHOPIN;24;24;Oferta letnia (z CANAL+ Seriale i Filmy);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;cena z rabatem za e-fakturę;1;24;114.99;;;;;;
9;CHOPIN;24;24;Oferta letnia (z CANAL+ Super Sport);800;40;800;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;cena z rabatem za e-fakturę;1;24;154.99;;;;;;
10;CHOPIN;24;24;Blue Box + Net;300;15;300;Blue Box;57;57;SMART TV - 57 kanałów;cena z rabatem za e-fakturę;1;3;0.00;4;24;83.69;;;
11;CHOPIN;24;24;Blue Box + Net;650;30;650;Blue Box;57;57;SMART TV - 57 kanałów;cena z rabatem za e-fakturę;1;3;0.00;4;24;93.69;;;
12;CHOPIN;24;24;Blue Box + Net;800;40;800;Blue Box;57;57;SMART TV - 57 kanałów;cena z rabatem za e-fakturę;1;3;0.00;4;24;103.69;;;
13;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy);120;10;120;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;133.56;2;24;138.55;;;
14;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport);120;10;120;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;173.56;2;24;178.55;;;
15;CHOPIN;24;24;Dla Dwojga (z HBO);120;10;120;Start Box;129;129;SMART M - 84 kanały, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;148.46;2;24;153.45;;;
16;CHOPIN;24;24;Dla Dwojga (z CANAL+ Seriale i Filmy i HBO);120;10;120;Start Box;129;129;SMART M - 84 kanały, CANAL+ Seriale i Filmy, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;173.46;2;24;178.45;;;
17;CHOPIN;24;24;Dla Dwojga (z CANAL+ Super Sport i HBO);120;10;120;Start Box;129;129;SMART M - 84 kanały, CANAL+ Super Sport, HBO;"dostępny dla Klientów posiadających 
legitymację emeryta / rencisty
, cena z rabatem za e-fakturę";1;1;213.46;2;24;218.45;;;
