id_oferty;id_firmy;okres_umowy;grupa_okresu;nazwa_oferty;nazwa_pakietu;pakiet_minut;grupa_porownawcza;dodatki;uwagi;okres_od_1;okres_do_1;cena_1;okres_od_2;okres_do_2;cena_2
1;CHOPIN;24;24;FON DOMOWY;FON Senior;0;0;;dostępny dla klientów posiadających legitymację emeryta / rencisty, cena z rabatem za e-fakturę;1;3;13.81;4;24;17.63
2;CHOPIN;24;24;FON DOMOWY;FON Startowy;50;50;;cena z rabatem za e-fakturę;1;3;13.81;4;24;22.67
3;CHOPIN;24;24;FON DOMOWY;FON 150;150;150;;cena z rabatem za e-fakturę;1;3;13.81;4;24;29.80
4;CHOPIN;24;24;FON DOMOWY;FON 500;500;500;;cena z rabatem za e-fakturę;1;3;13.81;4;24;52.48
5;CHOPIN;24;24;FON DOMOWY;FON 2000;2000;2000;;cena z rabatem za e-fakturę;1;3;13.81;4;24;72.48
6;PELMAR;24;24;FON DOMOWY;FON Senior;0;0;;dostępny dla klientów posiadających legitymację emeryta / rencisty, cena z rabatem za e-fakturę;1;3;13.81;4;24;17.63
7;PELMAR;24;24;FON DOMOWY;FON Startowy;50;50;;cena z rabatem za e-fakturę;1;3;13.81;4;24;22.67
8;PELMAR;24;24;FON DOMOWY;FON 150;150;150;;cena z rabatem za e-fakturę;1;3;13.81;4;24;29.80
9;PELMAR;24;24;FON DOMOWY;FON 500;500;500;;cena z rabatem za e-fakturę;1;3;13.81;4;24;52.48
10;PELMAR;24;24;FON DOMOWY;FON 2000;2000;2000;;cena z rabatem za e-fakturę;1;3;13.81;4;24;72.48
11;MC2;24;24;FON DOMOWY;FON Senior;0;0;;dostępny dla klientów posiadających legitymację emeryta / rencisty, cena z rabatem za e-fakturę;1;3;13.81;4;24;17.63
12;MC2;24;24;FON DOMOWY;FON Startowy;50;50;;cena z rabatem za e-fakturę;1;3;13.81;4;24;22.67
13;MC2;24;24;FON DOMOWY;FON 150;150;150;;cena z rabatem za e-fakturę;1;3;13.81;4;24;29.80
14;MC2;24;24;FON DOMOWY;FON 500;500;500;;cena z rabatem za e-fakturę;1;3;13.81;4;24;52.48
15;MC2;24;24;FON DOMOWY;FON 2000;2000;2000;;cena z rabatem za e-fakturę;1;3;13.81;4;24;72.48
16;MC1_OLSZTYN;12;12;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;1;0.00;2;12;24.98
17;MC1_OLSZTYN;12;12;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;1;0.00;2;12;34.98
18;MC1_OLSZTYN;12;12;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
19;MC1_OLSZTYN;12;12;Plany DOM;Bez Limitu;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
20;MC1_OLSZTYN;12;12;Plany DOM;Bez Limitu - Świat;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;54.98
21;MC1_OLSZTYN;24;24;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;3;0.00;4;24;24.98
22;MC1_OLSZTYN;24;24;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;3;0.00;4;24;34.98
23;MC1_OLSZTYN;24;24;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;3;0.00;4;24;44.98
24;MC1_OLSZTYN;24;24;Plany DOM;Bez Limitu;9999;2000;;cena z rabatem za e-fakturę;1;3;0.00;4;24;44.98
25;MC1_OLSZTYN;24;24;Plany DOM;Bez Limitu - Świat;9999;2000;;cena z rabatem za e-fakturę;1;3;0.00;4;24;54.98
26;MC1_STARGARD;12;12;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;1;0.00;2;12;24.98
27;MC1_STARGARD;12;12;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;1;0.00;2;12;34.98
28;MC1_STARGARD;12;12;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
29;MC1_STARGARD;12;12;Plany DOM;Bez Limitu;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
30;MC1_STARGARD;12;12;Plany DOM;Bez Limitu - Świat;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;54.98
31;MC1_STARGARD;24;24;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;3;0.00;4;24;24.98
32;MC1_STARGARD;24;24;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;3;0.00;4;24;34.98
33;MC1_STARGARD;24;24;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;3;0.00;4;24;44.98
34;MC1_STARGARD;24;24;Plany DOM;Bez Limitu;9999;2000;;cena z rabatem za e-fakturę;1;3;0.00;4;24;44.98
35;MC1_STARGARD;24;24;Plany DOM;Bez Limitu - Świat;9999;2000;;cena z rabatem za e-fakturę;1;3;0.00;4;24;54.98
36;MC1_OSTRODA;12;12;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;1;0.00;2;12;24.98
37;MC1_OSTRODA;12;12;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;1;0.00;2;12;34.98
38;MC1_OSTRODA;12;12;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
39;MC1_OSTRODA;12;12;Plany DOM;Bez Limitu;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;44.98
40;MC1_OSTRODA;12;12;Plany DOM;Bez Limitu - Świat;9999;2000;;cena z rabatem za e-fakturę;1;1;0.00;2;12;54.98
41;MC1_OSTRODA;24;24;Plany DOM;Standardowy 50;50;50;;cena z rabatem za e-fakturę;1;3;0.00;4;24;24.98
42;MC1_OSTRODA;24;24;Plany DOM;Standardowy 200;200;150;;cena z rabatem za e-fakturę;1;3;0.00;4;24;34.98
43;MC1_OSTRODA;24;24;Plany DOM;Rodzinny 400;400;500;;cena z rabatem za e-fakturę;1;3;0.00;4;24;44.98
